company_id,company_name
742,Blue Gardenia Productions
743,Blue Guitar Films
744,Blue Light
745,Blue Parrot Productions
746,Blue Productions
747,Blue Sky Films
748,Blue Sky Studios
749,Blue Spirit Animation
750,Blue Star Pictures
751,Blue Star Productions
752,Blue Tulip Productions
753,Blue Waters Motion Pictures
754,Blue Wolf
755,Blue Yonder Films
756,Blue-Tongue Films
757,Bluegrass Films
758,Bluemark Productions
759,Blueprint Pictures
760,Bluewater Pictures
761,Blum Hanson Allen Films
762,Blumhouse
763,Blumhouse Productions
764,Blurco
765,Bo Ho Film Company Ltd.
766,Bo Ho Films Co.
767,BoSD Films LLC
768,Boardwalk Productions
769,Bob DeBrino Entertainment
770,Bob Productions
771,Bob Yari Productions
772,Boca Boca Producciones S.L
773,Bocaboca Producciones S.A.
774,Bods Film LLC
775,Boies / Schiller Film Group
776,Boje Buck Produktion
777,Bold Films
778,Boll KG
779,Boll Kino Beteiligungs GmbH & Co. KG
780,Bomar OOD
781,Bona Fide Productions
782,Bona Film Group
783,Bonnie Timmermann Productions
784,Boogui Cinema
785,Bookshop Productions
786,Boram Entertainment Inc.
787,Borough Films
788,Bottom of the Ninth Productions
789,Bountiful Film Partners
790,Bourne Again
791,Bow and Arrow Entertainment
792,Boxing Cat Films
793,Boy Culture LLC
794,Boy of the Year
795,Brad Grey Pictures
796,Brad Krevoy & Steve Stabler production
797,Brad Zions Films
798,Brandenberg
799,Brandt/Haas Productions
800,Brandywine Productions
801,Brandywine Productions Ltd.
802,Brass Hat Films
803,Brat Na Pont Productions
804,Braun Entertainment Group
805,Brave New Films
806,Braveworld Productions
807,Bregman/Baer Productions
808,Brian Grazer/Scott Rudin Productions
809,Brick Dust Productions LLC
810,Brideshead Films
811,Bridget Johnson Films
812,Brigand Films
813,Brightlight Pictures
814,Brillstein-Grey Entertainment
815,Bristol Bay Productions
816,British Broadcasting Corporation (BBC)
817,British Broadcasting Corporation (BBC) Television
818,British Columbia Film
819,British Columbia Film Commission
820,British Empire Films Australia
821,British Film Institute (BFI)
822,British International Pictures (BIP)
823,British Lion Film Corporation
824,British Lion Films
825,British Lion-Columbia Distributors
826,British National Films
827,British Satellite Broadcasting (BSB)
828,British Screen
829,British Screen Finance Ltd
830,British Screen Productions
831,British Sky Broadcasting (BSkyB)
832,Broad Green Pictures
833,Broadway Video
834,Broken Lizard Industries
835,Broken Road Productions
836,Bron Creative
837,Bron Studios
838,Brooklyn Films II
839,Brooksfilms
840,Brooksfilms Ltd.
841,Brookwell-McNamara Entertainment
842,Brookwood Entertainment
843,Broomstick Entertainment
844,Broth Film
845,Brothers Dowdle Productions
846,Brown Sauce Film Productions
847,BrownHouse Productions
848,Brownstone Productions
849,Bruce Cohen Productions
850,Brucks Entertainment
851,Bruin Grip Services
852,Brut Productions
853,Bryan Foy Productions
854,Bryna Productions
855,Brynaprod S.A.
856,Bubby Productions
857,Buc-Film
858,Buckaroo Entertainment
859,Buckeye Films
860,Buckeye Pictures
861,Bud Yorkin Productions
862,Buena Vista
863,Buena Vista Distribution Company
864,Buena Vista Home Entertainment
865,Buena Vista International
866,Bueprint Pictures
867,Buffalo Films
868,Buffalo Gal Pictures
869,Buffalo Producciones
870,Bugsy Malone Productions
871,Bulbul Films
872,Bulletproof Cupid
873,Bullwinkle Studios
874,Bungalow 78 Productions
875,Bungalow Productions
876,Bungei
877,Burg/Koules Productions
878,Burke/Samples/Foster Productions
879,Burnside Entertainment
880,Burroughs Productions Inc.
881,Bushwood Pictures
882,Business Location Sudtirol Alto Adige
883,Busted Tranny
884,Buster Keaton Productions
885,Busy Bee Productions
886,Béla Jarzyk Production
887,Bésame Mucho Pictures
888,Bórd Scannán na hÉireann
889,Böcek Film
890,Böcek Yapım
891,C & C Brown Production
892,C & L
893,C&P Productions
894,C-2 Pictures
895,C-Hundred Film Corporation
896,C.G. Cinema
897,C.H.U.D. Productions
898,C.O. Films
899,C.O.R.E. Feature Animation
900,C.R.R.A.V
901,C.R.R.A.V. Nord Pas de Calais
902,C2M Productions
903,CAB Productions
904,CAPAC
905,CARTEL S.A.
906,CAT Films
907,CB Films
908,CBK
909,CBS Films
910,CBS Television Studios
911,CCC-Filmkunst
912,CCLA Productions
913,CDI
914,CEI Incom
915,CFCF-TV
916,CG Cinéma
917,CIP Filmproduktion GmbH
918,CITY-TV
919,CJ Capital Investment
920,CJ Entertainment
921,CKRush Entertainment
922,CLT
923,CMP Entertainment
924,CMW Films
925,CN Film
926,CNC
927,CP Medien AG
928,CRML Productions
929,CTB Film Company
930,CTV International
931,Cabezahueca
932,Cabin Creek Films
933,Cabin Fever Entertainment
934,Cactus Films
935,Cadre Films
936,Calash Corporation
937,Calder Road Film
938,Calimari Productions
939,Calle Cruzada
940,Callender Company
941,Cambridge Productions
942,Camelot Pictures
943,Camelot Productions
944,Camerimage Festival
945,Camp / Thompson Pictures
946,Camp Films
947,Camp Grey
948,Camp Hill
949,Campanile Productions
950,Caméra One
951,CanWest Global Communications Corporationt
952,Canadian Broadcasting Corporation (CBC)
953,Canadian Film Centre (CFC)
954,Canadian Film Development Corporation (CFDC)
955,Canadian Film or Video Production Tax Credit (CPTC)
956,Canadian Television Fund
957,Canal Horizons
958,Canal Plus
959,Canal Plus Group
960,Canal+
961,Canal+ Droits Audiovisuels
962,Canal+ España
963,Canal+ Polska
964,Canal+ Television AB
965,Canal+France
966,Canal+Polska
967,Caneo Films
968,Canlaws Productions
969,Cannon Entertainment
970,Cannon Films
971,Cannon Group
972,Canon Productions
973,Cantharus Productions
974,Capcom
975,Cape Of Good Films
976,Capella
977,Capella Films
978,Capella International
979,Capital Arts Entertainment
980,Capital Equipment Leasing
981,Capital Films
982,Capitol Films
983,Cappa Productions
984,Capri Films
985,Captivate Entertainment
986,Captivity Productions
987,Caracol Televisión
988,Caramel Film
989,Caravan Pictures
990,Cardinal Pictures (II)
991,Carlton Television
992,Carlyle Productions
993,Carmel Entertainment
994,Carmel Productions
995,Carnelian Productions
996,Carnival Films
997,Caro-McLeod
998,Carol Baum Productions
999,Carolco Entertainment
1000,Carolco International N.V.
1001,Carolco Pictures
1002,Carolina Bank
1003,Carousel Picture Company
1004,Carrie Productions Inc.
1005,Carros Pictures
1006,Cartel Films
1007,Carthago Films S.a.r.l.
1008,Cartoon Network Studios
1009,Casa Kafka Pictures
1010,Casa Kafka Pictures Movie Tax Shelter Empowered by Belfius
1011,Casablanca Filmworks
1012,Casey Productions
1013,Casey Silver Productions
1014,Castel Film Romania
1015,Castelao Producciones
1016,Castilla Cooperativa Cinematográfica
1017,Castle Hill Productions
1018,Castle Rock Entertainment
1019,Castleberg Productions
1020,Catalina Cinema
1021,Catch 23 Entertainment
1022,Catch Productions
1023,CatchPlay
1024,Catfish Productions
1025,Catmandu Branded Entertainment
1026,Cattleya
1027,Catwoman Films
1028,Causeway Films
1029,Caviar Films
1030,Ce Qui Me Meut Motion Pictures
1031,Cecchi Gori Europa N.V.
1032,Cecchi Gori Group
1033,Cecchi Gori Group Tiger Cinematografica
1034,Cecchi Gori Pictures
1035,Cedar Partners
1036,Celador Films
1037,Celador Productions
1038,Celandine Films
1039,Celebrated Productions
1040,Celluloid Dreams
1041,Celtridge
1042,Cent Productions Inc.
1043,Centar Film
1044,Center for Film and Audiovisual Arts of the French Community of Belgium
1045,Central Cinema Company Film
1046,Central Cinema Company Film (CCC)
1047,Central Films
1048,Central Motion Pictures
1049,Central Partnership
1050,Centre Européen Cinématographique Rhône-Alpes
1051,Centre National de la Cinématographie
1052,Centre National de la Cinématographie (CNC)
1053,Centre Régional des Ressources Audiovisuelles (CRRAV)
1054,Centre Street Productions
1055,Centropolis Entertainment
1056,Centropolis Film Productions
1057,Centrul National al Cinematografiei (CNC)
1058,Century 21 Television
1059,Century Communications
1060,Cerito Films
1061,Cervantes Films
1062,Ceská Televize
1063,Chad Troutwine Films
1064,Chai Productions
1065,Chaiken Films
1066,Chainsaw Productions LLC
1067,Chal Productions
1068,Chambara Pictures
1069,Champs-Élysées Productions
1070,Chan Ye-Cheng
1071,Chang-Hong Channel Film & Video Co.
1072,Channel 1+1
1073,Channel 4
1074,Channel 4 Television
1075,Channel Films
1076,Channel Four Films
1077,Channel One Russia
1078,Channel Productions
1079,Channel Z Films
1080,Chaocorp
1081,Chaplin Film Productions Ltd.
1082,Chapter One Films
1083,Charenton Productions Limited
1084,Charles Chaplin Productions
1085,Charles K. Feldman Group
1086,Charles Matthau-Jerry Tokofsky-John Davis Productions
1087,Charlie Guidance
1088,Charter Film Productions
1089,Charter Films Inc.
1090,Chartoff Productions
1091,Chartoff Winkler Productions
1092,Chartoff-Winkler Productions
1093,Chase Productions
1094,Chase Regency
1095,Chaumiane
1096,Cheerland Entertainment Organization
1097,Cheetah Vision
1098,Chemo
1099,Chenault Productions
1100,Cheongeoram
1101,Cheri Productions
1102,Chernin Entertainment
1103,Cherokee Productions
1104,Cherry Alley Productions
1105,Chessman Park Productions
1106,Chestnut Hill Productions
1107,Cheyenne Enterprises
1108,Chi-Fou-Mi Productions
1109,Chicago Pacific Entertainment
1110,Chicago Pictures
1111,ChickFlick Productions
1112,Chickie The Cop Production
1113,Chilton Films
1114,Chime Films
1115,China Film & TV Capital
1116,China Film Co-Production Corporation
1117,China Film Co.
1118,China Film Group
1119,China Film Group Corporation
1120,China Film Group Corporation (CFGC)
1121,China International Entertainment Limited
1122,China Movie Channel
1123,Chinagraph
1124,Chiodo Brothers Productions
1125,Chloë Productions
1126,Chockstone Pictures
1127,Choke Film
1128,Chris Brinker Productions
1129,Chris Lee Productions
1130,Christel Films
1131,Christmas Tree Films
1132,Chromosom Filmproduktion
1133,Chrysalis Films
1134,Chrysler Corporation
1135,Chuan Production Film Studio
1136,Chubu-nippon Broadcasting Company (CBC)
1137,Chuck Productions
1138,Chum City
1139,Chunqiu Time Co.
1140,Churchill Toledo
1141,CiBy 2000
1142,CiP - Europaische Treuhand AG
1143,Ciby 2000
1144,Cider Mill Pictures
1145,Cine Bazar
1146,Cine Camera
1147,Cine Groupe
1148,Cine Location Services
1149,Cine Mobil
1150,Cine Pantera
1151,Cine Productions
1152,Cine-2000 Film Production
1153,Cine-Neighbor
1154,CinePostproduction
1155,CineSon Entertainment
1156,CineTel Pictures
1157,Cinealpha KG
1158,Cineblue Internationale Filmproduktionsgesellschaft
1159,Cinecidi
1160,Cinecitta Italiana Stabilimenti Cinematografici
