date_id,full_date,year,quarter,month,month_name,day,week_of_year,day_of_week,day_name,is_weekend
19481124,1948-11-24,1948,4,11,November,24,48,4,Wednesday,false
19481129,1948-11-29,1948,4,11,November,29,49,2,Monday,false
19481201,1948-12-01,1948,4,12,December,1,49,4,Wednesday,false
19481224,1948-12-24,1948,4,12,December,24,52,6,Friday,true
19481225,1948-12-25,1948,4,12,December,25,52,7,Saturday,true
19490101,1949-01-01,1949,1,1,January,1,53,7,Saturday,true
19490309,1949-03-09,1949,1,3,March,9,10,4,Wednesday,false
19490319,1949-03-19,1949,1,3,March,19,11,7,Saturday,true
19490320,1949-03-20,1949,1,3,March,20,11,1,Sunday,false
19490328,1949-03-28,1949,1,3,March,28,13,2,Monday,false
19490402,1949-04-02,1949,2,4,April,2,13,7,Saturday,true
19490409,1949-04-09,1949,2,4,April,9,14,7,Saturday,true
19490601,1949-06-01,1949,2,6,June,1,22,4,Wednesday,false
19490610,1949-06-10,1949,2,6,June,10,23,6,Friday,true
19490702,1949-07-02,1949,3,7,July,2,26,7,Saturday,true
19490729,1949-07-29,1949,3,7,July,29,30,6,Friday,true
19490902,1949-09-02,1949,3,9,September,2,35,6,Friday,true
19490913,1949-09-13,1949,3,9,September,13,37,3,Tuesday,false
19490921,1949-09-21,1949,3,9,September,21,38,4,Wednesday,false
19491005,1949-10-05,1949,4,10,October,5,40,4,Wednesday,false
19491006,1949-10-06,1949,4,10,October,6,40,5,Thursday,true
19491010,1949-10-10,1949,4,10,October,10,41,2,Monday,false
19491012,1949-10-12,1949,4,10,October,12,41,4,Wednesday,false
19491017,1949-10-17,1949,4,10,October,17,42,2,Monday,false
19491022,1949-10-22,1949,4,10,October,22,42,7,Saturday,true
19491026,1949-10-26,1949,4,10,October,26,43,4,Wednesday,false
19491118,1949-11-18,1949,4,11,November,18,46,6,Friday,true
19491214,1949-12-14,1949,4,12,December,14,50,4,Wednesday,false
19491221,1949-12-21,1949,4,12,December,21,51,4,Wednesday,false
19500304,1950-03-04,1950,1,3,March,4,9,7,Saturday,true
19500329,1950-03-29,1950,1,3,March,29,13,4,Wednesday,false
19500414,1950-04-14,1950,2,4,April,14,15,6,Friday,true
19500522,1950-05-22,1950,2,5,May,22,21,2,Monday,false
19500612,1950-06-12,1950,2,6,June,12,24,2,Monday,false
19500626,1950-06-26,1950,2,6,June,26,26,2,Monday,false
19500720,1950-07-20,1950,3,7,July,20,29,5,Thursday,true
19500810,1950-08-10,1950,3,8,August,10,32,5,Thursday,true
19500816,1950-08-16,1950,3,8,August,16,33,4,Wednesday,false
19500902,1950-09-02,1950,3,9,September,2,35,7,Saturday,true
19500929,1950-09-29,1950,3,9,September,29,39,6,Friday,true
19501030,1950-10-30,1950,4,10,October,30,44,2,Monday,false
19501109,1950-11-09,1950,4,11,November,9,45,5,Thursday,true
19501214,1950-12-14,1950,4,12,December,14,50,5,Thursday,true
19501225,1950-12-25,1950,4,12,December,25,52,2,Monday,false
